company_id,cluster_id,cluster_name,distance_from_centroid
ABB,4,Cluster 4,0.858
ADANIENSOL,4,Cluster 4,1.408
ADANIENT,4,Cluster 4,1.131
ADANIGREEN,1,Distressed / Turnaround,2.638
ADANIPORTS,0,High-Quality Compounders,1.139
ADANIPOWER,4,Cluster 4,1.445
AMBUJACEM,4,Cluster 4,0.652
APOLLOHOSP,4,Cluster 4,0.905
ASIANPAINT,4,Cluster 4,0.268
ATGL,4,Cluster 4,1.401
BAJAJ-AUTO,4,Cluster 4,0.507
AXISBANK,1,Distressed / Turnaround,0.9
BAJAJFINSV,1,Distressed / Turnaround,1.028
BAJAJHLDNG,0,High-Quality Compounders,2.462
BAJFINANCE,1,Distressed / Turnaround,1.607
BANKBARODA,1,Distressed / Turnaround,1.809
BHARTIARTL,0,High-Quality Compounders,1.272
BEL,2,Defensive Dividend Payers,1.129
BHEL,4,Cluster 4,2.315
BOSCHLTD,4,Cluster 4,1.024
BPCL,4,Cluster 4,0.712
BRITANNIA,4,Cluster 4,0.418
CANBK,1,Distressed / Turnaround,2.713
CHOLAFIN,1,Distressed / Turnaround,0.923
CIPLA,0,High-Quality Compounders,1.011
COALINDIA,0,High-Quality Compounders,1.17
DABUR,4,Cluster 4,0.575
DIVISLAB,4,Cluster 4,0.536
DLF,4,Cluster 4,2.657
DMART,4,Cluster 4,1.312
DRREDDY,4,Cluster 4,1.152
EICHERMOT,4,Cluster 4,1.085
GAIL,3,Cluster 3,1.119
GODREJCP,4,Cluster 4,0.726
GRASIM,4,Cluster 4,0.367
HAL,2,Defensive Dividend Payers,1.129
HAVELLS,4,Cluster 4,0.428
HCLTECH,4,Cluster 4,2.239
HDFCBANK,1,Distressed / Turnaround,0.592
HDFCLIFE,0,High-Quality Compounders,1.328
HEROMOTOCO,0,High-Quality Compounders,1.656
HINDALCO,0,High-Quality Compounders,0.626
HINDUNILVR,0,High-Quality Compounders,0.69
ICICIBANK,1,Distressed / Turnaround,0.647
ICICIGI,0,High-Quality Compounders,1.792
ICICIPRULI,0,High-Quality Compounders,1.04
INDUSINDBK,1,Distressed / Turnaround,0.664
INFY,4,Cluster 4,0.327
IOC,4,Cluster 4,0.754
IRCTC,4,Cluster 4,1.068
IRFC,1,Distressed / Turnaround,1.849
ITC,4,Cluster 4,0.93
JINDALSTEL,4,Cluster 4,1.398
JIOFIN,0,High-Quality Compounders,0.76
JSWENERGY,4,Cluster 4,1.504
JSWSTEEL,4,Cluster 4,0.606
KOTAKBANK,0,High-Quality Compounders,1.576
LICI,4,Cluster 4,1.763
LODHA,4,Cluster 4,2.341
LT,4,Cluster 4,0.32
LTIM,4,Cluster 4,2.59
M&M,4,Cluster 4,0.893
MARUTI,4,Cluster 4,0.371
MOTHERSON,4,Cluster 4,1.142
NAUKRI,4,Cluster 4,0.853
NESTLEIND,4,Cluster 4,0.497
NHPC,3,Cluster 3,1.119
NTPC,4,Cluster 4,0.674
ONGC,4,Cluster 4,0.778
PFC,1,Distressed / Turnaround,1.285
PIDILITIND,4,Cluster 4,0.463
PNB,1,Distressed / Turnaround,1.377
POWERGRID,0,High-Quality Compounders,1.22
RECLTD,1,Distressed / Turnaround,2.029
RELIANCE,4,Cluster 4,0.419
SBILIFE,4,Cluster 4,1.971
SBIN,4,Cluster 4,1.267
SHREECEM,4,Cluster 4,0.265
SHRIRAMFIN,1,Distressed / Turnaround,1.39
SUNPHARMA,4,Cluster 4,0.63
TATACONSUM,4,Cluster 4,1.742
TATAMOTORS,4,Cluster 4,0.641
TATAPOWER,4,Cluster 4,0.893
TATASTEEL,4,Cluster 4,0.67
TCS,4,Cluster 4,0.361
TECHM,4,Cluster 4,0.641
TITAN,4,Cluster 4,1.388
TORNTPHARM,4,Cluster 4,0.829
TRENT,4,Cluster 4,3.403
TVSMOTOR,4,Cluster 4,1.241
INDIGO,0,High-Quality Compounders,1.774
SIEMENS,4,Cluster 4,0.463
