table,file,row_index,reason
profitandloss,data/raw\profitandloss.xlsx,12,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,24,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,37,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,46,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,59,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,72,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,85,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,96,bad year 'Mar 2023 15': PARSE_ERROR: 'Mar 2023 15'
profitandloss,data/raw\profitandloss.xlsx,98,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,111,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,124,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,132,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,145,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,158,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,171,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,184,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,195,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,208,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,221,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,234,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,247,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,260,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,273,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,286,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,299,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,312,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,325,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,338,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,351,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,364,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,377,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,390,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,403,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,416,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,429,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,442,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,455,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,468,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,481,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,485,bad year 'Mar 2016 9m': PARSE_ERROR: 'Mar 2016 9m'
profitandloss,data/raw\profitandloss.xlsx,494,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,507,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,520,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,532,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,545,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,558,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,571,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,584,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,597,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,610,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
profitandloss,data/raw\profitandloss.xlsx,623,"bad year 'TTM': TTM (Trailing Twelve Months) is not an annual period - intentionally skipped, not a data error"
