company_id,metric,value,z_score,sector,sector_mean,sector_std
INDIGO,return_on_equity_pct,892.568306010929,3.47,Consumer Discretionary,86.72,232.1
PNB,return_on_equity_pct,61.320565191187306,3.25,Financials,19.01,13.02
INDIGO,return_on_capital_employed_pct,4953.540772532189,3.47,Consumer Discretionary,382.83,1316.21
ICICIPRULI,return_on_capital_employed_pct,753.9778779188856,3.31,Financials,75.38,205.15
BAJAJHLDNG,net_profit_margin_pct,432.7262044653349,4.5,Financials,38.24,87.71
ADANIGREEN,debt_to_equity,6.595281675818589,3.14,Energy,1.46,1.63
BAJAJHLDNG,interest_coverage,3764.5,3.68,Financials,334.23,932.58
INDIGO,asset_turnover,56.38625204582652,3.47,Consumer Discretionary,5.16,14.75
PNB,asset_turnover,1.5070262950629396,4.23,Financials,0.2,0.31
TATAMOTORS,free_cash_flow_cr,45133.0,3.23,Consumer Discretionary,4444.14,12601.4
