metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,123.9,637.14
return_on_capital_employed_pct,3.37,7.58,13.76,27.13,113.58,161.06,692.73
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.25,20.02,45.18
debt_to_equity,0.0,0.05,0.43,1.57,6.44,1.65,2.85
interest_coverage,1.6,3.04,11.3,57.97,190.5,124.76,483.44
asset_turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85
free_cash_flow_cr,-14435.1,-1290.0,1068.5,8348.5,20412.2,888.16,23126.58
revenue_cagr_5yr,6.45,8.44,11.84,17.18,21.09,12.98,7.35
pat_cagr_5yr,4.36,9.86,16.43,23.78,39.28,21.21,21.52
eps_cagr_5yr,3.56,9.33,14.87,22.05,31.64,19.08,20.17
